Symbol
AARTIIND
ABB
ABBOTINDIA
ABCAPITAL
ABFRL
ACC
ADANIENT
ADANIPORTS
ALKEM
AMBUJACEM
APOLLOHOSP
ASHOKLEY
ASIANPAINT
ATUL
AUBANK
AUROPHARMA
AXISBANK
BAJAJFINSV
BAJFINANCE
BALKRISIND
BANDHANBNK
BANKBARODA
BATAINDIA
BEL
BERGEPAINT
BHARATFORG
BHARTIARTL
BHEL
BIOCON
BOSCHLTD
BPCL
BRITANNIA
CANBK
CANFINHOME
CDSL
CHAMBLFERT
CHOLAFIN
CIPLA
COALINDIA
COFORGE
COLPAL
CONCOR
COROMANDEL
CROMPTON
CUMMINSIND
DABUR
DALBHARAT
DEEPAKNTR
DELTACORP
DIVISLAB
DIXON
DLF
DRREDDY
EICHERMOT
ESCORTS
EXIDEIND
FEDERALBNK
GAIL
GLENMARK
GNFC
GODREJCP
GODREJPROP
GRANULES
GRASIM
GSPL
HAVELLS
HCLTECH
HDFCAMC
HDFCBANK
HDFCLIFE
HEROMOTOCO
HINDALCO
HINDPETRO
HINDUNILVR
ICICIBANK
ICICIPRULI
IDFCFIRSTB
IGL
INDIGO
INDUSINDBK
INDUSTOWER
INFY
IOC
IPCALAB
IRCTC
ITC
JINDALSTEL
JSWSTEEL
JUBLFOOD
KOTAKBANK
LAURUSLABS
LICHSGFIN
LT
LTTS
LUPIN
M&M
MANAPPURAM
MARICO
MARUTI
MCX
METROPOLIS
MGL
MRF
MUTHOOTFIN
NATIONALUM
NAUKRI
NAVINFLUOR
NESTLEIND
NMDC
NTPC
OBEROIRLTY
OFSS
ONGC
PAGEIND
PEL
PERSISTENT
PETRONET
PFC
PIDILITIND
PIIND
PNB
POLYCAB
POWERGRID
RAIN
RAMCOCEM
RBLBANK
RECLTD
RELIANCE
SAIL
SBICARD
SBILIFE
SBIN
SHREECEM
SIEMENS
SRF
SUNPHARMA
SYNGENE
TATACONSUM
TATAMOTORS
TATAPOWER
TATASTEEL
TCS
TECHM
TITAN
TORNTPHARM
TRENT
TVSMOTOR
UBL
ULTRACEMCO
UPL
VEDL
VOLTAS
WIPRO
ZEEL
