Symbol
RELIANCE
TCS
INFY
HDFCBANK
ICICIBANK
AXISBANK
HDFC
SBIN
KOTAKBANK
HINDUNILVR
ITC
LT
WIPRO
HCLTECH
BHARTIARTL
ASIANPAINT
MARUTI
TITAN
SUNPHARMA
BAJFINANCE
BAJAJFINSV
NESTLEIND
ULTRACEMCO
POWERGRID
NTPC
ONGC
M&M
TECHM
TATAMOTORS
TATASTEEL
JSWSTEEL
ADANIPORTS
GRASIM
INDUSINDBK
DIVISLAB
DRREDDY
CIPLA
COALINDIA
HINDALCO
BRITANNIA
EICHERMOT
BPCL
SHREECEM
IOC
UPL
HEROMOTOCO
BAJAJ-AUTO
TATACONSUM
APOLLOHOSP
ADANIENT
