Symbol
RELIANCE
TCS
INFY
HDFCBANK
ICICIBANK
SBIN
AXISBANK
KOTAKBANK
LT
ITC
HINDUNILVR
BHARTIARTL
WIPRO
HCLTECH
BAJFINANCE
TATAMOTORS
MARUTI
TITAN
SUNPHARMA
ASIANPAINT
ULTRACEMCO
NTPC
POWERGRID
ONGC
TATASTEEL
JSWSTEEL
ADANIPORTS
ADANIENT
GRASIM
INDUSINDBK
DIVISLAB
DRREDDY
CIPLA
COALINDIA
HINDALCO
BRITANNIA
TECHM
M&M
NESTLEIND
BAJAJFINSV
APOLLOHOSP
TATACONSUM
BPCL
EICHERMOT
HEROMOTOCO
PIDILITIND
SIEMENS
HAVELLS
DABUR
MUTHOOTFIN
PEL
VOLTAS
BATAINDIA
CANBK
LICHSGFIN
GODREJCP
GODREJPROP
SRF
SAIL
AUROPHARMA
BIOCON
COLPAL
DLF
BALKRISIND
ESCORTS
GLENMARK
GMRINFRA
IDFCFIRSTB
NATIONALUM
PFC
RECLTD
TATAPOWER
TORNTPHARM
VEDL
ZEEL
ACC
BANDHANBNK
BANKBARODA
BHARATFORG
BOSCHLTD
CHOLAFIN
CONCOR
CUMMINSIND
FEDERALBNK
GAIL
ICICIPRULI
INDIGO
IOC
JINDALSTEL
JUBLFOOD
LUPIN
MANAPPURAM
MARICO
MOTHERSUMI
MRF
NAUKRI
PNB
PETRONET
RBLBANK
SHREECEM
SRTRANSFIN
UBL
UPL
IPCALAB
AUBANK
RAMCOCEM
TVSMOTOR
ASHOKLEY
EXIDEIND
BHEL
MGL
OFSS
GRANULES
POLYCAB
IRCTC
IGL
DIXON
LTTS
LAURUSLABS
PIIND
DEEPAKNTR
COFORGE
ALKEM
RAIN
CHAMBLFERT
DELTACORP
ABFRL
AMBUJACEM
CANFINHOME
COROMANDEL
CROMPTON
GNFC
GSPL
HDFCAMC
HDFCLIFE
HINDPETRO
IBULHSGFIN
INDUSTOWER
MCX
METROPOLIS
NAVINFLUOR
NMDC
OBEROIRLTY
PAGEIND
PERSISTENT
SBICARD
SBILIFE
SYNGENE
TRENT
ABBOTINDIA
AARTIIND
ABB
ABCAPITAL
ATUL
BEL
BERGEPAINT
CDSL
DALBHARAT
